"participant";"sex";"age";"number_lessons";"math_edu";"lessons";"intro_page";"included";"exclusion_motive"
"part1";"M";50;1;4;1;1;0;"exp_error"
"part1_0";"F";23;0;6;0;0;1;"none"
"part1_05";"M";38;0;4;0;1;1;"none"
"part1_35";"M";27;3;5;123;1;1;"none"
"part10";"F";24;7;2;5671234;1;1;"none"
"part10_0";"F";25;0;8;0;0;1;"none"
"part10_05";"F";20;0;4;0;1;1;"none"
"part10_35";"F";41;5;2;71234;1;1;"none"
"part11";"F";23;1;2;6;1;0;"Planar_geometry"
"part11_0";"M";30;0;5;0;0;1;"none"
"part11_05";"M";24;0;7;0;1;1;"none"
"part11_35";"F";22;3;4;234;1;1;"none"
"part12";"F";26;7;2;6712345;1;1;"none"
"part12_0";"F";18;0;3;0;0;1;"none"
"part12_05";"M";23;0;3;0;1;1;"none"
"part12_35";"F";20;5;2;56712;1;1;"none"
"part13";"F";21;1;5;7;1;1;"none"
"part13_0";"M";26;0;7;0;0;1;"none"
"part13_05";"F";52;0;2;0;1;0;"Planar_geometry"
"part13_35";"F";22;3;2;567;1;1;"none"
"part14";"M";27;7;2;7123456;1;1;"none"
"part14_0";"M";26;0;5;0;0;1;"none"
"part14_05";"M";33;0;4;0;1;1;"none"
"part14_35";"F";NA;5;5;34567;1;1;"none"
"part15";"F";22;1;2;1;1;1;"none"
"part15_0";"M";18;0;2;0;0;1;"none"
"part15_05";"F";26;0;7;0;1;1;"none"
"part15_35";"M";25;3;6;765;1;1;"none"
"part16";"M";NA;7;4;7654321;1;1;"none"
"part16_0";"F";18;0;3;0;0;1;"none"
"part16_05";"M";23;0;4;0;1;0;"Straight_lines_on_spheres"
"part16_35";"F";26;5;2;76543;1;1;"none"
"part17";"F";33;1;2;2;1;1;"none"
"part17_0";"M";31;0;2;0;0;1;"none"
"part17_05";"M";20;0;2;0;1;1;"none"
"part17_35";"F";22;3;2;432;1;1;"none"
"part18";"F";20;7;0;6543217;1;1;"none"
"part18_0";"M";21;0;4;0;0;1;"none"
"part18_05";"F";NA;0;2;0;1;1;"none"
"part18_35";"M";19;5;2;21765;1;1;"none"
"part19";"M";24;1;6;3;1;0;"Straight_lines_on_spheres"
"part19_05";"F";36;0;2;0;1;0;"Planar_geometry"
"part19_35";"F";20;3;4;176;1;1;"none"
"part2";"M";24;7;7;1234567;1;0;"exp_error"
"part2_0";"F";25;0;2;0;0;1;"none"
"part2_05";"F";29;0;2;0;1;0;"Straight_lines_on_spheres"
"part2_35";"F";36;5;2;12345;1;1;"none"
"part20";"M";NA;7;7;5432176;1;1;"none"
"part20_35";"F";24;5;2;43217;1;1;"none"
"part21";"F";21;1;4;4;1;1;"none"
"part21_35";"F";25;3;2;543;1;1;"none"
"part22";"F";23;7;7;4321765;1;1;"none"
"part22_35";"F";43;5;5;65432;1;1;"none"
"part23";"M";26;1;4;5;1;0;"exp_error"
"part23_35";"F";NA;3;2;217;1;0;"Planar_geometry"
"part24";"M";19;7;3;3217654;1;0;"exp_error"
"part24_35";"F";23;5;3;17654;1;1;"none"
"part25";"M";26;1;4;6;1;1;"none"
"part25_35";"F";21;3;4;654;1;0;"Planar_geometry"
"part26";"M";NA;7;5;2176543;1;0;"exp_error"
"part26_35";"M";27;5;2;32176;1;1;"none"
"part27";"M";26;1;6;7;1;1;"none"
"part27_35";"F";30;3;5;321;1;1;"none"
"part28";"F";NA;7;7;1765432;1;1;"none"
"part28_35";"F";34;5;2;54321;1;1;"none"
"part29";"F";32;1;4;1;1;1;"none"
"part29_35";"F";21;5;2;45671;1;0;"Planar_geometry"
"part3";"F";NA;1;2;2;1;0;"exp_error"
"part3_0";"M";25;0;6;0;0;1;"none"
"part3_05";"F";22;0;5;0;1;1;"none"
"part3_35";"F";22;3;2;456;1;1;"none"
"part30";"M";27;7;4;1234567;1;1;"none"
"part30_35";"F";23;5;2;45671;1;1;"none"
"part31";"F";NA;1;6;2;1;1;"none"
"part31_35";"F";24;3;4;217;1;1;"none"
"part32_35";"F";21;3;4;654;1;1;"none"
"part33";"F";20;1;3;6;1;1;"none"
"part34";"F";NA;7;5;3217654;1;1;"none"
"part35";"M";31;1;2;3;1;0;"Straight_lines_on_spheres"
"part36";"F";21;7;5;2176543;1;1;"none"
"part37";"F";18;1;3;5;1;1;"none"
"part38";"F";NA;1;2;3;1;1;"none"
"part4";"F";NA;7;5;2345671;1;1;"none"
"part4_0";"M";NA;0;1;0;0;0;"exp_error"
"part4_05";"M";25;0;0;0;1;0;"Straight_lines_on_spheres"
"part4_35";"F";22;5;6;67123;1;1;"none"
"part5";"M";NA;1;7;3;1;1;"none"
"part5_0";"F";23;0;2;0;0;0;"exp_error"
"part5_05";"M";48;0;2;0;1;1;"none"
"part5_35";"F";23;3;5;712;1;1;"none"
"part6";"M";NA;7;7;3456712;1;1;"none"
"part6_0";"F";27;0;2;0;0;0;"exp_error"
"part6_05";"F";24;0;6;0;1;1;"none"
"part6_35";"M";23;5;5;45671;1;0;"both_inclusion_tests"
"part7";"M";23;1;7;4;1;1;"none"
"part7_0";"F";NA;0;2;0;0;1;"none"
"part7_05";"F";30;0;4;0;1;1;"none"
"part7_35";"F";26;3;6;345;1;1;"none"
"part8";"M";23;7;7;4567123;1;1;"none"
"part8_0";"F";27;0;5;0;0;1;"none"
"part8_05";"F";24;0;5;0;1;1;"none"
"part8_35";"M";29;5;7;23456;1;1;"none"
"part9";"F";41;1;2;5;1;1;"none"
"part9_0";"M";23;0;2;0;0;0;"incomplete"
"part9_05";"F";21;0;2;0;1;1;"none"
"part9_35";"M";23;3;4;671;1;1;"none"
